date,Hempstead   11-15,Hempstead   16-20,Hempstead   21-25,Hempstead   26-30,Hempstead   31+,Hempstead   6-10,Hempstead   Canceled,Hempstead   Partially Canceled
2010-07,2.0,1.0,,,,15.0,,
2010-08,29.0,7.0,5.0,,6.0,51.0,17.0,2.0
2010-09,8.0,7.0,3.0,1.0,4.0,29.0,7.0,5.0
2010-10,13.0,3.0,1.0,1.0,4.0,42.0,2.0,11.0
2010-11,12.0,3.0,2.0,1.0,,31.0,3.0,1.0
2010-12,13.0,5.0,4.0,1.0,4.0,27.0,7.0,2.0
2011-01,16.0,6.0,8.0,1.0,4.0,48.0,22.0,3.0
2011-02,8.0,3.0,1.0,1.0,1.0,19.0,4.0,1.0
2011-03,9.0,2.0,1.0,,2.0,19.0,,1.0
2011-04,10.0,1.0,2.0,,3.0,15.0,,1.0
2011-05,8.0,4.0,3.0,,2.0,22.0,2.0,3.0
2011-06,10.0,7.0,1.0,4.0,,24.0,,2.0
2011-07,9.0,7.0,2.0,,1.0,22.0,3.0,2.0
2011-08,16.0,7.0,6.0,1.0,6.0,46.0,12.0,2.0
2011-09,16.0,2.0,3.0,1.0,3.0,43.0,15.0,6.0
2011-10,8.0,2.0,5.0,2.0,3.0,31.0,1.0,1.0
2011-11,3.0,3.0,2.0,1.0,2.0,26.0,,1.0
2011-12,7.0,1.0,1.0,,1.0,20.0,,1.0
2012-01,10.0,7.0,2.0,1.0,,25.0,,2.0
2012-02,6.0,5.0,1.0,,,17.0,,1.0
2012-03,11.0,,1.0,1.0,,23.0,,2.0
2012-04,5.0,5.0,4.0,1.0,2.0,18.0,1.0,
2012-05,6.0,2.0,1.0,3.0,1.0,15.0,1.0,1.0
2012-06,17.0,8.0,1.0,4.0,4.0,34.0,1.0,1.0
2012-07,13.0,1.0,,1.0,2.0,24.0,,
2012-08,9.0,8.0,2.0,1.0,,34.0,2.0,5.0
2012-09,9.0,4.0,1.0,1.0,2.0,21.0,1.0,
2012-10,2.0,1.0,2.0,,,12.0,,2.0
2012-11,30.0,8.0,6.0,3.0,6.0,45.0,9.0,8.0
2012-12,3.0,3.0,1.0,,3.0,38.0,1.0,4.0
2013-01,8.0,7.0,4.0,,1.0,27.0,1.0,3.0
2013-02,9.0,2.0,1.0,2.0,,24.0,3.0,6.0
2013-03,16.0,4.0,4.0,1.0,5.0,30.0,,8.0
2013-04,8.0,5.0,2.0,1.0,2.0,17.0,1.0,2.0
2013-05,13.0,4.0,,2.0,3.0,54.0,2.0,5.0
2013-06,12.0,3.0,1.0,1.0,1.0,26.0,4.0,4.0
2013-07,8.0,,2.0,,2.0,39.0,6.0,1.0
2013-08,16.0,5.0,4.0,4.0,7.0,42.0,2.0,3.0
2013-09,14.0,3.0,1.0,2.0,3.0,19.0,2.0,
2013-10,12.0,3.0,1.0,,,27.0,2.0,
2013-11,18.0,4.0,2.0,1.0,,55.0,2.0,4.0
2013-12,11.0,6.0,,2.0,,44.0,,
2014-01,25.0,8.0,5.0,2.0,,78.0,4.0,
2014-02,18.0,9.0,3.0,4.0,4.0,64.0,5.0,3.0
2014-03,15.0,7.0,2.0,1.0,6.0,44.0,1.0,2.0
2014-04,21.0,4.0,1.0,3.0,,46.0,3.0,17.0
2014-05,11.0,7.0,5.0,5.0,2.0,56.0,1.0,
2014-06,13.0,3.0,1.0,2.0,1.0,63.0,1.0,1.0
2014-07,13.0,1.0,3.0,1.0,,44.0,,1.0
2014-08,7.0,3.0,2.0,,,43.0,1.0,5.0
2014-09,4.0,6.0,2.0,2.0,3.0,50.0,2.0,3.0
2014-10,12.0,3.0,,3.0,2.0,40.0,10.0,4.0
2014-11,10.0,4.0,1.0,1.0,,42.0,1.0,2.0
2014-12,20.0,7.0,2.0,,1.0,44.0,3.0,3.0
2015-01,23.0,8.0,2.0,1.0,1.0,43.0,14.0,5.0
2015-02,29.0,17.0,4.0,4.0,7.0,55.0,5.0,1.0
2015-03,22.0,5.0,2.0,1.0,3.0,57.0,,4.0
2015-04,14.0,5.0,2.0,,,29.0,2.0,5.0
2015-05,6.0,7.0,2.0,1.0,1.0,39.0,3.0,6.0
2015-06,25.0,7.0,7.0,3.0,,59.0,1.0,3.0
2015-07,16.0,3.0,4.0,2.0,5.0,82.0,10.0,7.0
2015-08,20.0,10.0,3.0,,4.0,58.0,1.0,2.0
2015-09,1.0,1.0,1.0,1.0,4.0,2.0,6.0,4.0
