date,Montauk   11-15,Montauk   16-20,Montauk   21-25,Montauk   26-30,Montauk   31+,Montauk   6-10,Montauk   Canceled,Montauk   Partially Canceled
2010-07,16.0,8.0,7.0,1.0,4.0,26.0,,1.0
2010-08,53.0,19.0,11.0,6.0,25.0,93.0,8.0,10.0
2010-09,23.0,10.0,10.0,3.0,11.0,72.0,8.0,23.0
2010-10,19.0,8.0,3.0,2.0,4.0,62.0,4.0,4.0
2010-11,25.0,12.0,12.0,2.0,18.0,51.0,13.0,4.0
2010-12,11.0,17.0,3.0,4.0,6.0,28.0,8.0,3.0
2011-01,39.0,21.0,6.0,6.0,6.0,66.0,25.0,23.0
2011-02,12.0,8.0,2.0,3.0,8.0,26.0,8.0,4.0
2011-03,23.0,9.0,5.0,3.0,10.0,35.0,1.0,3.0
2011-04,17.0,8.0,4.0,4.0,4.0,46.0,5.0,18.0
2011-05,40.0,14.0,6.0,8.0,10.0,58.0,5.0,4.0
2011-06,45.0,23.0,10.0,6.0,16.0,59.0,,2.0
2011-07,56.0,29.0,10.0,7.0,21.0,76.0,6.0,6.0
2011-08,28.0,19.0,19.0,10.0,36.0,49.0,25.0,11.0
2011-09,23.0,6.0,12.0,7.0,13.0,55.0,10.0,4.0
2011-10,19.0,10.0,3.0,,6.0,54.0,1.0,5.0
2011-11,12.0,8.0,4.0,3.0,5.0,33.0,2.0,2.0
2011-12,12.0,11.0,5.0,1.0,11.0,33.0,3.0,1.0
2012-01,10.0,2.0,5.0,,7.0,27.0,2.0,
2012-02,12.0,8.0,3.0,2.0,4.0,24.0,2.0,3.0
2012-03,10.0,2.0,,3.0,5.0,40.0,1.0,7.0
2012-04,20.0,13.0,6.0,5.0,10.0,28.0,1.0,10.0
2012-05,33.0,10.0,7.0,3.0,13.0,47.0,,1.0
2012-06,43.0,25.0,9.0,7.0,14.0,67.0,4.0,3.0
2012-07,38.0,19.0,13.0,6.0,13.0,99.0,,1.0
2012-08,44.0,22.0,15.0,10.0,10.0,84.0,2.0,5.0
2012-09,18.0,9.0,9.0,2.0,3.0,48.0,7.0,4.0
2012-10,16.0,5.0,5.0,1.0,7.0,31.0,4.0,5.0
2012-11,37.0,20.0,8.0,14.0,22.0,48.0,3.0,4.0
2012-12,21.0,5.0,6.0,,3.0,44.0,,2.0
2013-01,15.0,15.0,3.0,8.0,9.0,56.0,4.0,8.0
2013-02,19.0,8.0,2.0,2.0,11.0,30.0,29.0,10.0
2013-03,20.0,10.0,3.0,2.0,5.0,45.0,4.0,9.0
2013-04,10.0,6.0,7.0,2.0,12.0,28.0,6.0,
2013-05,31.0,13.0,7.0,3.0,6.0,34.0,3.0,
2013-06,40.0,19.0,6.0,8.0,23.0,58.0,9.0,4.0
2013-07,55.0,23.0,10.0,7.0,16.0,70.0,7.0,2.0
2013-08,48.0,17.0,8.0,6.0,19.0,76.0,4.0,3.0
2013-09,36.0,18.0,7.0,2.0,6.0,44.0,,1.0
2013-10,22.0,6.0,6.0,4.0,9.0,44.0,,2.0
2013-11,40.0,13.0,9.0,5.0,3.0,59.0,,6.0
2013-12,35.0,10.0,4.0,2.0,3.0,48.0,1.0,4.0
2014-01,30.0,23.0,20.0,9.0,22.0,61.0,3.0,8.0
2014-02,24.0,16.0,2.0,3.0,14.0,65.0,4.0,10.0
2014-03,20.0,9.0,9.0,2.0,10.0,47.0,1.0,4.0
2014-04,12.0,8.0,3.0,2.0,6.0,45.0,4.0,3.0
2014-05,36.0,15.0,8.0,1.0,8.0,72.0,2.0,19.0
2014-06,51.0,17.0,7.0,3.0,5.0,73.0,,4.0
2014-07,47.0,21.0,12.0,6.0,13.0,96.0,4.0,
2014-08,44.0,26.0,12.0,4.0,18.0,76.0,6.0,9.0
2014-09,29.0,14.0,5.0,2.0,8.0,52.0,2.0,11.0
2014-10,19.0,5.0,2.0,2.0,2.0,57.0,4.0,3.0
2014-11,20.0,6.0,6.0,2.0,4.0,60.0,,1.0
2014-12,21.0,14.0,9.0,2.0,6.0,57.0,1.0,6.0
2015-01,25.0,16.0,5.0,3.0,14.0,46.0,27.0,16.0
2015-02,30.0,26.0,13.0,11.0,30.0,67.0,9.0,6.0
2015-03,21.0,19.0,14.0,8.0,13.0,46.0,6.0,8.0
2015-04,9.0,5.0,1.0,,5.0,34.0,6.0,2.0
2015-05,27.0,15.0,5.0,5.0,10.0,53.0,9.0,5.0
2015-06,24.0,15.0,4.0,2.0,2.0,56.0,,8.0
2015-07,50.0,29.0,14.0,6.0,26.0,94.0,3.0,7.0
2015-08,35.0,16.0,8.0,4.0,15.0,71.0,5.0,6.0
2015-09,8.0,5.0,4.0,1.0,6.0,12.0,1.0,1.0
