date,Oyster Bay   11-15,Oyster Bay   16-20,Oyster Bay   21-25,Oyster Bay   26-30,Oyster Bay   31+,Oyster Bay   6-10,Oyster Bay   Canceled,Oyster Bay   Partially Canceled
2010-07,8.0,2.0,,1.0,1.0,12.0,,
2010-08,17.0,8.0,10.0,7.0,9.0,41.0,14.0,4.0
2010-09,9.0,6.0,5.0,,8.0,32.0,11.0,2.0
2010-10,14.0,9.0,3.0,,4.0,35.0,3.0,1.0
2010-11,16.0,7.0,6.0,1.0,3.0,23.0,,
2010-12,14.0,8.0,6.0,3.0,4.0,27.0,7.0,2.0
2011-01,31.0,8.0,8.0,5.0,4.0,48.0,19.0,1.0
2011-02,10.0,3.0,3.0,2.0,9.0,27.0,7.0,4.0
2011-03,6.0,7.0,3.0,,,11.0,2.0,1.0
2011-04,3.0,4.0,1.0,,,11.0,,
2011-05,10.0,7.0,5.0,1.0,2.0,22.0,2.0,1.0
2011-06,9.0,3.0,2.0,3.0,8.0,29.0,2.0,2.0
2011-07,9.0,,2.0,1.0,2.0,20.0,2.0,1.0
2011-08,15.0,8.0,4.0,1.0,5.0,20.0,7.0,
2011-09,14.0,4.0,5.0,3.0,2.0,31.0,10.0,1.0
2011-10,13.0,6.0,5.0,1.0,5.0,29.0,4.0,2.0
2011-11,11.0,3.0,3.0,,5.0,19.0,1.0,1.0
2011-12,4.0,6.0,3.0,1.0,3.0,19.0,4.0,1.0
2012-01,7.0,6.0,2.0,,1.0,25.0,1.0,
2012-02,5.0,3.0,2.0,1.0,1.0,18.0,2.0,2.0
2012-03,6.0,,4.0,,1.0,17.0,3.0,1.0
2012-04,2.0,3.0,3.0,,1.0,16.0,,
2012-05,13.0,4.0,1.0,,3.0,17.0,5.0,
2012-06,12.0,3.0,1.0,,2.0,27.0,,1.0
2012-07,21.0,6.0,4.0,2.0,6.0,19.0,2.0,17.0
2012-08,6.0,2.0,4.0,1.0,2.0,23.0,,
2012-09,11.0,2.0,2.0,,1.0,35.0,,
2012-10,5.0,6.0,2.0,1.0,,18.0,1.0,1.0
2012-11,19.0,5.0,4.0,2.0,8.0,39.0,1.0,1.0
2012-12,9.0,7.0,3.0,,5.0,27.0,6.0,6.0
2013-01,12.0,6.0,4.0,,4.0,32.0,,
2013-02,9.0,4.0,,2.0,7.0,28.0,4.0,
2013-03,20.0,4.0,6.0,2.0,5.0,32.0,1.0,4.0
2013-04,14.0,13.0,4.0,2.0,4.0,50.0,2.0,1.0
2013-05,14.0,4.0,3.0,,3.0,33.0,1.0,1.0
2013-06,10.0,7.0,2.0,2.0,7.0,32.0,1.0,1.0
2013-07,7.0,4.0,,,3.0,27.0,2.0,5.0
2013-08,12.0,7.0,2.0,4.0,9.0,38.0,3.0,
2013-09,11.0,2.0,4.0,3.0,9.0,36.0,1.0,
2013-10,12.0,4.0,3.0,2.0,2.0,31.0,2.0,2.0
2013-11,13.0,6.0,4.0,2.0,2.0,47.0,2.0,
2013-12,6.0,1.0,1.0,4.0,2.0,44.0,2.0,2.0
2014-01,20.0,7.0,5.0,4.0,13.0,51.0,7.0,1.0
2014-02,20.0,7.0,,3.0,17.0,33.0,7.0,2.0
2014-03,8.0,4.0,3.0,1.0,2.0,40.0,,1.0
2014-04,7.0,6.0,,3.0,9.0,39.0,1.0,
2014-05,14.0,7.0,2.0,3.0,2.0,33.0,2.0,1.0
2014-06,13.0,2.0,1.0,2.0,4.0,33.0,1.0,2.0
2014-07,15.0,4.0,3.0,1.0,1.0,34.0,1.0,
2014-08,8.0,3.0,2.0,4.0,,22.0,1.0,1.0
2014-09,11.0,2.0,4.0,1.0,2.0,26.0,,1.0
2014-10,16.0,2.0,3.0,,4.0,43.0,3.0,1.0
2014-11,14.0,5.0,3.0,2.0,2.0,26.0,1.0,2.0
2014-12,16.0,4.0,4.0,1.0,8.0,34.0,4.0,
2015-01,13.0,7.0,3.0,2.0,4.0,30.0,5.0,2.0
2015-02,26.0,12.0,6.0,5.0,5.0,49.0,5.0,7.0
2015-03,15.0,7.0,3.0,3.0,1.0,53.0,3.0,1.0
2015-04,3.0,1.0,3.0,2.0,1.0,24.0,,
2015-05,6.0,4.0,2.0,3.0,1.0,32.0,1.0,2.0
2015-06,8.0,5.0,2.0,2.0,1.0,28.0,1.0,1.0
2015-07,11.0,5.0,2.0,4.0,3.0,31.0,1.0,
2015-08,12.0,8.0,1.0,2.0,3.0,38.0,2.0,
2015-09,2.0,,,2.0,4.0,4.0,1.0,2.0
