date,West Hempstead   11-15,West Hempstead   16-20,West Hempstead   21-25,West Hempstead   26-30,West Hempstead   31+,West Hempstead   6-10,West Hempstead   Canceled,West Hempstead   Partially Canceled
2010-07,1.0,1.0,,,1.0,5.0,,3.0
2010-08,8.0,3.0,,2.0,,7.0,78.0,1.0
2010-09,5.0,1.0,1.0,,3.0,12.0,4.0,
2010-10,3.0,,,,1.0,5.0,,2.0
2010-11,2.0,1.0,,,,8.0,1.0,1.0
2010-12,2.0,3.0,,,2.0,17.0,5.0,
2011-01,15.0,7.0,1.0,1.0,1.0,15.0,4.0,1.0
2011-02,2.0,,,,,10.0,,
2011-03,5.0,2.0,,,,5.0,1.0,
2011-04,3.0,1.0,1.0,,,7.0,1.0,3.0
2011-05,7.0,1.0,3.0,2.0,3.0,10.0,2.0,
2011-06,4.0,1.0,,,,14.0,1.0,1.0
2011-07,8.0,2.0,2.0,1.0,3.0,17.0,1.0,2.0
2011-08,3.0,4.0,1.0,2.0,2.0,12.0,,1.0
2011-09,5.0,2.0,1.0,,1.0,13.0,13.0,2.0
2011-10,3.0,,,,,11.0,,1.0
2011-11,3.0,2.0,,1.0,,9.0,1.0,
2011-12,3.0,1.0,,,,11.0,,1.0
2012-01,2.0,1.0,,,,13.0,,
2012-02,1.0,2.0,,,,12.0,,
2012-03,5.0,,,,,14.0,,1.0
2012-04,4.0,,2.0,,,5.0,2.0,1.0
2012-05,2.0,4.0,,1.0,1.0,8.0,,
2012-06,6.0,,,,1.0,16.0,,
2012-07,3.0,,,,,18.0,,
2012-08,9.0,4.0,,1.0,,16.0,,2.0
2012-09,2.0,,2.0,,,12.0,,
2012-10,5.0,2.0,1.0,1.0,,16.0,,
2012-11,19.0,12.0,6.0,2.0,,27.0,5.0,
2012-12,3.0,2.0,,,,26.0,2.0,2.0
2013-01,5.0,,1.0,,,14.0,,
2013-02,7.0,2.0,,1.0,,22.0,2.0,2.0
2013-03,4.0,2.0,,2.0,,24.0,,2.0
2013-04,2.0,,4.0,2.0,,15.0,,2.0
2013-05,5.0,,,,,20.0,,1.0
2013-06,4.0,,,1.0,1.0,10.0,,2.0
2013-07,3.0,4.0,,,,29.0,,
2013-08,3.0,,2.0,1.0,3.0,23.0,2.0,3.0
2013-09,2.0,3.0,,,,28.0,,
2013-10,5.0,4.0,,,,18.0,,
2013-11,3.0,3.0,1.0,1.0,,28.0,,2.0
2013-12,4.0,1.0,1.0,,,27.0,1.0,1.0
2014-01,8.0,3.0,1.0,1.0,1.0,35.0,1.0,
2014-02,1.0,1.0,,,,22.0,,
2014-03,5.0,,1.0,,3.0,23.0,,
2014-04,3.0,1.0,1.0,1.0,,18.0,,2.0
2014-05,3.0,1.0,2.0,,1.0,30.0,1.0,
2014-06,2.0,,1.0,2.0,1.0,27.0,,
2014-07,3.0,2.0,,1.0,1.0,21.0,,
2014-08,2.0,5.0,,1.0,1.0,18.0,1.0,
2014-09,5.0,2.0,1.0,1.0,1.0,21.0,2.0,1.0
2014-10,3.0,2.0,1.0,,,29.0,1.0,3.0
2014-11,7.0,1.0,1.0,,,24.0,,1.0
2014-12,10.0,3.0,1.0,3.0,,47.0,4.0,3.0
2015-01,6.0,5.0,,1.0,,21.0,12.0,3.0
2015-02,9.0,5.0,7.0,,2.0,31.0,,
2015-03,7.0,3.0,1.0,,1.0,21.0,2.0,2.0
2015-04,4.0,2.0,1.0,1.0,,14.0,2.0,1.0
2015-05,3.0,,1.0,,,30.0,,2.0
2015-06,4.0,4.0,3.0,1.0,4.0,29.0,,
2015-07,8.0,2.0,1.0,,,22.0,7.0,
2015-08,4.0,4.0,,1.0,1.0,26.0,,
2015-09,2.0,,,,1.0,4.0,,1.0
