date,Danbury   11-15,Danbury   16-20,Danbury   21-25,Danbury   26-30,Danbury   31+,Danbury   6-10,Danbury   Canceled,Danbury   Terminated
2014-01,11.0,4.0,4.0,2.0,2.0,30.0,5.0,4.0
2014-02,96.0,55.0,29.0,14.0,13.0,117.0,4.0,9.0
2014-03,4.0,5.0,1.0,1.0,,17.0,,1.0
2014-04,2.0,3.0,,1.0,,20.0,,
2014-05,9.0,2.0,,1.0,4.0,30.0,,
2014-06,5.0,1.0,1.0,,1.0,25.0,1.0,1.0
2014-07,11.0,5.0,3.0,4.0,2.0,38.0,,2.0
2014-08,2.0,,,1.0,2.0,7.0,,1.0
2014-09,4.0,3.0,1.0,1.0,5.0,21.0,3.0,2.0
2014-10,9.0,3.0,4.0,2.0,5.0,31.0,,2.0
2014-11,5.0,6.0,1.0,2.0,3.0,40.0,1.0,2.0
2014-12,6.0,1.0,1.0,2.0,,32.0,,
2015-01,10.0,4.0,1.0,1.0,2.0,33.0,1.0,2.0
2015-02,30.0,15.0,4.0,6.0,14.0,48.0,2.0,2.0
2015-03,7.0,10.0,3.0,3.0,12.0,41.0,2.0,1.0
2015-04,3.0,1.0,1.0,1.0,1.0,29.0,1.0,
2015-05,6.0,3.0,4.0,,1.0,42.0,1.0,3.0
2015-06,3.0,3.0,,3.0,1.0,35.0,,2.0
2015-07,3.0,7.0,1.0,,,38.0,1.0,1.0
2015-08,1.0,2.0,3.0,2.0,,21.0,,
2015-09,7.0,3.0,,2.0,2.0,16.0,,1.0
2015-10,,,,1.0,,1.0,,
