date,Harlem   11-15,Harlem   16-20,Harlem   21-25,Harlem   26-30,Harlem   31+,Harlem   6-10,Harlem   Canceled,Harlem   Terminated
2014-01,35.0,19.0,9.0,5.0,35.0,105.0,19.0,2.0
2014-02,81.0,38.0,21.0,14.0,9.0,186.0,4.0,2.0
2014-03,52.0,22.0,9.0,6.0,20.0,152.0,21.0,35.0
2014-04,43.0,17.0,7.0,4.0,8.0,180.0,2.0,6.0
2014-05,49.0,7.0,9.0,1.0,13.0,247.0,5.0,8.0
2014-06,34.0,5.0,5.0,6.0,1.0,206.0,,2.0
2014-07,98.0,30.0,12.0,9.0,10.0,331.0,,6.0
2014-08,37.0,18.0,10.0,6.0,2.0,120.0,,1.0
2014-09,25.0,15.0,2.0,3.0,3.0,96.0,1.0,7.0
2014-10,84.0,46.0,12.0,11.0,16.0,434.0,,3.0
2014-11,110.0,36.0,21.0,7.0,13.0,467.0,5.0,5.0
2014-12,40.0,18.0,3.0,2.0,5.0,242.0,1.0,4.0
2015-01,51.0,10.0,8.0,8.0,7.0,206.0,6.0,14.0
2015-02,106.0,77.0,38.0,22.0,50.0,378.0,76.0,67.0
2015-03,54.0,34.0,16.0,14.0,37.0,193.0,16.0,15.0
2015-04,53.0,17.0,10.0,7.0,2.0,255.0,,5.0
2015-05,55.0,29.0,20.0,13.0,20.0,262.0,4.0,9.0
2015-06,28.0,18.0,9.0,10.0,43.0,201.0,7.0,20.0
2015-07,60.0,13.0,10.0,4.0,5.0,191.0,,5.0
2015-08,19.0,12.0,5.0,1.0,13.0,119.0,1.0,3.0
2015-09,20.0,3.0,3.0,4.0,5.0,151.0,1.0,5.0
2015-10,,,,,,3.0,,
