date,Hudson   11-15,Hudson   16-20,Hudson   21-25,Hudson   26-30,Hudson   31+,Hudson   6-10,Hudson   Canceled,Hudson   Terminated
2014-01,19.0,14.0,5.0,5.0,17.0,78.0,10.0,
2014-02,53.0,21.0,4.0,3.0,5.0,195.0,,
2014-03,41.0,16.0,10.0,10.0,10.0,117.0,17.0,31.0
2014-04,45.0,9.0,5.0,3.0,4.0,251.0,,6.0
2014-05,74.0,18.0,19.0,3.0,8.0,347.0,2.0,5.0
2014-06,78.0,15.0,8.0,4.0,2.0,369.0,1.0,4.0
2014-07,59.0,22.0,5.0,4.0,8.0,293.0,2.0,25.0
2014-08,51.0,16.0,7.0,4.0,5.0,231.0,,4.0
2014-09,27.0,6.0,6.0,2.0,2.0,155.0,,5.0
2014-10,47.0,18.0,16.0,8.0,15.0,295.0,1.0,3.0
2014-11,73.0,30.0,6.0,4.0,2.0,431.0,,1.0
2014-12,39.0,6.0,2.0,5.0,8.0,230.0,1.0,7.0
2015-01,52.0,9.0,9.0,2.0,7.0,149.0,6.0,9.0
2015-02,49.0,40.0,15.0,4.0,10.0,215.0,3.0,11.0
2015-03,61.0,31.0,18.0,20.0,29.0,167.0,9.0,2.0
2015-04,50.0,14.0,5.0,,4.0,240.0,1.0,4.0
2015-05,40.0,8.0,4.0,5.0,9.0,231.0,1.0,2.0
2015-06,32.0,18.0,4.0,,2.0,203.0,1.0,7.0
2015-07,56.0,20.0,11.0,1.0,14.0,220.0,,4.0
2015-08,61.0,23.0,9.0,10.0,6.0,145.0,1.0,4.0
2015-09,19.0,7.0,3.0,2.0,9.0,125.0,,3.0
2015-10,6.0,,,,1.0,7.0,,
