date,New Canaan   11-15,New Canaan   16-20,New Canaan   21-25,New Canaan   26-30,New Canaan   31+,New Canaan   6-10,New Canaan   Canceled,New Canaan   Terminated
2014-01,12.0,4.0,1.0,,4.0,22.0,3.0,
2014-02,13.0,15.0,7.0,4.0,3.0,52.0,3.0,1.0
2014-03,11.0,2.0,6.0,3.0,7.0,48.0,2.0,2.0
2014-04,8.0,5.0,2.0,,,66.0,4.0,1.0
2014-05,19.0,7.0,1.0,2.0,2.0,77.0,,3.0
2014-06,10.0,,4.0,,,56.0,1.0,
2014-07,19.0,3.0,1.0,,,53.0,1.0,1.0
2014-08,4.0,,,,,26.0,,
2014-09,5.0,5.0,1.0,2.0,,39.0,,
2014-10,27.0,8.0,1.0,,1.0,110.0,,
2014-11,17.0,7.0,1.0,1.0,3.0,94.0,5.0,3.0
2014-12,18.0,5.0,2.0,,1.0,90.0,1.0,
2015-01,18.0,3.0,1.0,,2.0,75.0,,1.0
2015-02,26.0,9.0,8.0,2.0,8.0,90.0,5.0,1.0
2015-03,11.0,1.0,,2.0,4.0,49.0,1.0,1.0
2015-04,11.0,2.0,,,,71.0,,
2015-05,10.0,5.0,2.0,2.0,3.0,61.0,,1.0
2015-06,15.0,2.0,2.0,1.0,,65.0,1.0,1.0
2015-07,12.0,4.0,,,,49.0,1.0,1.0
2015-08,5.0,2.0,2.0,,,46.0,,
2015-09,11.0,4.0,3.0,,,62.0,2.0,
2015-10,,,,,,7.0,,
